Track,Album Name,Artist,Release Date,All Time Rank,Spotify Streams,Spotify Popularity
DIE,KMT,Gazo,7/1/2022,3393,168211673,62.0
You and Me,Leo,Shubh,1/5/2024,3406,52919662,67.0
Please Don't Fall In Love With Me,Please Don't Fall In Love With Me,Khalid,4/5/2024,3415,32679509,0.0
Aullando,"Los Campeones del Pueblo ""The Big Leagues""",Wisin & Yandel,12/14/2018,3403,407025386,62.0
El Incomprendido,El Incomprendido,Farruko,9/30/2021,3412,186233910,55.0
23,"23 (feat. Miley Cyrus, Wiz Khalifa & Juicy J) - Single",Mike WiLL Made-It,1/1/2013,3409,339514083,63.0
Guay,Guay,Ozuna,4/18/2024,3392,25134764,73.0
Poesia Acï¿½ï¿½stica #6: Era uma,Poesia Acï¿½ï¿½stica #6: Era uma,Pineapple StormTv,12/24/2018,3397,290101322,66.0
Swang,SremmLife 2 (Deluxe),Rae Sremmurd,8/12/2016,3405,658051344,66.0
Broke Boys,Her Loss,Drake,11/4/2022,3399,143220845,61.0
SMOKE IT OFF!,SMOKE IT OFF!,Lumi Athena,11/22/2022,3389,185817317,69.0
Night Bus,Night Bus,KIDS,12/9/2022,3401,5316,0.0
bad idea right?,bad idea right?,Olivia Rodrigo,8/11/2023,3413,432831676,0.0
What They Want,What They Want,Russ,7/28/2016,3404,569767392,68.0
All of Me - Radio Edit,"ýý3 Greatest Hits, Vol. 66",John Legend,6/27/2014,3411,2379787239,20.0
Corazï¿½ï¿½n F,Corazï¿½ï¿½n Frï¿½ï¿½o ,Jasiel Nuï¿½ï,10/12/2023,3420,79485128,0.0
Take Care,Take Care (Deluxe),Drake,11/15/2011,3431,622498643,70.0
A Sky Full of Stars,Los Nï¿½ï¿½meros 1 De 40 (El Disco De Los ï¿½ï,Coldplay,1/1/2014,3421,1490987063,81.0
Smack That - Dirty,Smack That (feat. Eminem),Akon,1/1/2006,3422,1023825031,80.0
Ramen & OJ,Ramen & OJ,Joyner Lucas,4/30/2021,3423,260117606,63.0
Arhbo [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Arhbo (Music from the Fifa World Cup Qatar 2022 Official Soundtrack) [feat. FIFA Sound] - Single,Ozuna,8/19/2022,3427,49549021,33.0
MEGAVERSE,ROCK-STAR,Stray Kids,11/10/2023,3426,71016852,0.0
Come See Me,Come See Me - Single,Rod Wave,9/1/2023,3428,28876525,0.0
Cool With You,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,3425,165916276,70.0
Dark Matter,Dark Matter,Pearl Jam,2/13/2024,3430,11776885,0.0
Shameless,Shameless,Camila Cabello,9/5/2019,3419,524463179,76.0
New Freezer (feat. Kendrick Lamar),New Freezer (feat. Kendrick Lamar),Rich The Kid,9/25/2017,3424,317302250,54.0
GTA.mp3,GTA.mp3,Emilia,9/7/2023,3429,103722826,0.0
Dembow,Dembow,Danny Ocean,12/8/2017,3441,579189526,65.0
WAKE UP!,WAKE UP!,MoonDeity,8/5/2022,3435,152307497,67.0
ECHOES: Cala Boca Menino,Echoes,Fire! Orchestra,4/14/2023,3438,11960,2.0
Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,3437,210385853,0.0
Fast,Death Race For Love (Bonus Track Version),Juice WRLD,3/8/2019,3450,392674468,62.0
Come and See Me (feat. Drake),Come and See Me (feat. Drake),PARTYNEXTDOOR,3/23/2016,3436,609032900,66.0
Myself,COSMIC,Bazzi,4/12/2018,3443,279105227,59.0
Muï¿½ï¿½,Muï¿½ï¿½ecas - Si,TINI,1/12/2023,3440,162551255,57.0
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix","BESAME (feat. Tiago PZK, Khea & Neo Pistea) [Remix]",Bhavi,4/16/2024,3444,66225764,78.0
LOCO,CRAZY IN LOVE,ITZY,9/24/2021,3451,259023338,63.0
Life's A Mess (feat. Halsey),Life's A Mess (feat. Halsey),Juice WRLD,7/6/2020,3442,319737440,61.0
Do I Wanna Know?,Do I Wanna Know?,Arctic Monkeys,1/1/2013,3432,2188592950,46.0
Have Mercy,Have Mercy,Chlï¿½,9/10/2021,3445,202781631,60.0
Cake By The Ocean - Cover,FOLIAGE PLANT selected by KIKO,epi records,2/16/2023,3537,1614203949,0.0
Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),benny blanco,8/5/2022,3449,259730016,62.0
Yebbaï¿½ï¿½ï¿½s Hear,Certified Lover Boy,Drake,9/3/2021,3448,349849639,71.0
Drums (Feat. Kim Petras),Drums (Feat. Kim Petras),James Hype,10/6/2023,3434,48573000,0.0
El Avioncito,El Avioncito,Giblack,10/28/2021,3447,11569095,41.0
Handle On You,Handle On You,Parker McCollum,8/5/2022,3439,103858433,63.0
"Non, je ne regrette rien",Edith Piaf Essentials : The Greatest Hits of the Most Popular French Singer,ýýdith Piaf,5/7/2024,3433,168750749,19.0
Montagem - Pr Funk,Montagem - Pr Funk - Single,BARATO NATION,12/27/2023,3867,332936854,0.0
Tunnel Vision,Tunnel Vision,Kodak Black,2/17/2017,3477,654828389,68.0
White Tee (with NO1-NOAH),Life On Earth - EP,Summer Walker,7/10/2020,3474,277094824,63.0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,TaitosmitH,3/26/2024,3462,2759335,0.0
I'm Not The Only One,I'm Not The Only One,Sam Smith,9/11/2014,3458,93040974,16.0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýý,10/5/2023,3455,3872,0.0
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,Chris Jedi,5/20/2022,3471,411006233,67.0
Too Easy,Too Easy,Gunna,9/24/2021,3452,133039977,54.0
Walking On A Dream,Walking On A Dream,Empire Of The Sun,1/1/2008,3476,923637058,74.0
Take Two,Take Two,BTS,6/9/2023,3461,259288333,69.0
Water (Remix),Water (Remix) - Single,Tyla,11/17/2023,3473,51588608,0.0
You Know You Like It,You Know You Like It,DJ Snake,10/14/2014,3465,506083686,65.0
Bom Diggy,Bom Diggy - Single,Zack Knight,8/24/2017,3464,55362558,46.0
Mati-Matian,Mati-Matian - Single,Mahalini,3/29/2024,3472,52510463,76.0
Live Another Day,Phonkageddon,Kordhell,8/27/2021,3470,283108875,66.0
Ana Ghaltan,Cigara,Bahaa Sultan,12/27/2021,3468,8316794,47.0
Sexo Virtual,VICE VERSA,Rauw Alejandro,6/25/2021,3460,293361823,66.0
"Nï¿½ï¿½o, Nï¿½",Piseiro Sofrï¿½ï¿½,Mari Fernandez,4/29/2021,3469,158404124,51.0
ýý ýýýýýýýý ýýýýýýýýýý,ýý ýýýýýýýý ýýýýýýýýýý,Moreart,12/4/2020,3475,60358583,50.0
Chasin' You,If I Know Me,Morgan Wallen,4/27/2018,3466,609984789,74.0
Ali Cabbar,Parti ï¿½ï¿½,Emir Can ï¿½ï¿½ï,6/2/2023,3467,63442980,58.0
Clouds,Clouds - Single,BUNT.,1/12/2023,3459,149986283,63.0
Let Your Boys Be Country,Let Your Boys Be Country,Jason Aldean,8/25/2023,3456,21485335,1.0
Spin You Around (1/24),Spin You Around (1/24),Morgan Wallen,1/26/2024,3453,77564567,0.0
Solo Me Dejaste,Solo Me Dejaste,Grupo Marca Registrada,7/8/2022,3454,175374235,66.0
Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),Meghan Trainor,1/9/2015,3457,1060255231,71.0
"Don't Give Up On Me - (From ""Five Feet Apart"")","Don't Give Up On Me (From ""Five Feet Apart"")",Andy Grammer,2/13/2019,3463,509011250,67.0
Jingle Bell Rock,"Essential Classics, Vol. 141: Bobby Helms",Bobby Helms,11/3/2023,3478,964357785,0.0
Talk Dirty (feat. 2 Chainz),VTM Kzoom Hits Best Of 2013,Jason Derulo,1/1/2013,3489,718634962,65.0
Nail Tech,Nail Tech,Jack Harlow,2/18/2022,3497,224376030,56.0
Lahore,Kultural Inkursions,Guru Randhawa,7/27/2018,3496,77999,0.0
The Summoning,The Summoning - Single,Sleep Token,1/6/2023,3484,135976140,69.0
Feel It Still,Woodstock,Portugal. The Man,6/15/2017,3492,1303018999,26.0
TROLLZ (with Nicki Minaj),TROLLZ (with Nicki Minaj),6ix9ine,6/12/2020,3481,169376113,2.0
Cover Me Up,Cover Me Up,Morgan Wallen,4/5/2019,3499,457252350,70.0
Un Verano Sin Ti,Un Verano Sin Ti,Bad Bunny,5/6/2022,3495,360149048,69.0
Mi Morenita,Mi Morenita - Single,Grupo Marca Registrada,5/24/2024,3494,8104357,68.0
Get A Guitar,Get A Guitar,RIIZE,9/4/2023,3485,67887030,0.0
Heat,Heat (feat. Gunna),Gunna,6/20/2019,3486,174090982,55.0
Birds In The Sky,Birds In The Sky - Single,New Era,12/8/2023,3480,21664308,0.0
I Was Never There,"My Dear Melancholy,",The Weeknd,3/29/2018,3488,995463505,78.0
How You Feel (Ft. Leven Kali),How You Feel (Ft. Leven Kali),ANOTR,4/19/2024,3490,9591249,0.0
Hang Tight Honey,Hang Tight Honey,Lainey Wilson,5/13/2024,3482,2378738,0.0
Bar,Bar,TINI,11/11/2021,3487,231155441,54.0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,YOUNGOHM,1/25/2023,3498,17745591,47.0
Case,Ghost,Diljit Dosanjh,9/29/2023,3479,48353674,0.0
Apa Fer Milaange,Apa Fer Milaange,Savi Kahlon,12/15/2023,3491,29171226,0.0
Socadona (feat. Mr. Vegas),Socadona (feat. Mr. Vegas),LUDMILLA,11/18/2021,3493,74338196,45.0
As It Was,As It Was - Single,Hundreds,3/24/2023,3483,479006,30.0
Humpty Dumpty,60 Nursery Rhyme Songs,Nursery Rhymes,2/18/2014,3524,0,1.0
Sial,fï¿½ï¿½,Mahalini,1/23/2023,3525,324327622,75.0
Pelele,Pelele,Morad,12/24/2021,3508,153262121,64.0
"Ishq Jaisa Kuch (From ""Fighter"")","Ishq Jaisa Kuch (From ""Fighter"")",Vishal-Shekhar,12/22/2023,3519,26192177,0.0
CAROLINA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/24/2023,3517,89487508,66.0
Krippy Kush,Krippy Kush,Farruko,8/4/2017,3500,261207310,56.0
Do It,VULTURES 1,Kanye West,2/9/2024,3503,58509914,0.0
Mtg Quero Te Encontrar,Mtg Quero Te Encontrar,DJ LG PROD,2/23/2024,3518,95980260,79.0
Umbrella (with 21 Savage & Young Nudy),HEROES & VILLAINS,Metro Boomin,12/2/2022,3521,134971918,64.0
Cuaderno,Climaxxx,Dalex,5/10/2019,3511,415170963,63.0
Leja Re,Leja Re,Dhvani Bhanushali,11/24/2018,3504,64612903,55.0
Pï¿½ï¿½i,Pï¿½ï¿½i naa - Si,Babasha,6/1/2024,3522,881858,53.0
Paro - Speed Up,Paro (Speed Up),Nej,5/20/2021,3512,92866817,53.0
"Burn, Burn, Burn","Burn, Burn, Burn",Zach Bryan,9/8/2022,3501,261905370,75.0
Girl,Easy Money Baby,Myke Towers,1/24/2020,3523,358885100,70.0
Saving Up,Saving Up,Dom Dolla,10/6/2023,3516,68053989,0.0
The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2,Lil Uzi Vert,8/25/2017,3505,973400151,74.0
Headshot (feat. Polo G & Fivio Foreign),Headshot,Lil Tjay,3/19/2021,3502,331506695,65.0
"Gali Gali (From ""Kgf Chapter 1"")","Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,12/13/2018,3515,74027513,59.0
LLYLM,LLYLM,ROSALï¿½,1/27/2023,3513,163400564,60.0
Levels,Levels (feat. Sunny Malton),Sidhu Moose Wala,5/25/2022,3510,146988095,59.0
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Boaz van de Beatz remix","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Boaz van de Beatz remix]",Boaz van de Beatz,6/5/2015,3506,24407534,29.0
If You're Happy and You Know It (Clap Your Hands),Circle Time Singalong,CoComelon,6/10/2022,3514,433037,20.0
La player (Bandolera),La Player (Bandolera),Zion & Lennox,2/23/2018,3520,603009543,65.0
ART,TYLA,Tyla,3/1/2024,3507,46863836,0.0
Let's Love,Let's Love,Sia,9/11/2020,3509,222571023,57.0
DASH,Fe3O4: BREAK,NMIXX,1/15/2024,3530,40620097,11.0
On My Mind,On My Mind,Diplo,12/13/2019,3526,287897439,60.0
Vampiro,Vampiro,Matuï¿,3/29/2022,3527,250112783,67.0
Another Late Night (feat. Lil Yachty),For All The Dogs,Drake,10/6/2023,3535,61355849,0.0
Fire - Official UEFA EURO 2024 Song,Fire (Official UEFA EURO 2024 Song),MEDUZA,5/10/2024,3542,10114922,74.0
Delincuente,Delincuente,Tokischa,8/19/2022,3541,190095480,68.0
Never Lose Me (feat. SZA & Cardi B),"Fine Ho, Stay",Flo Milli,3/15/2024,3531,30301728,0.0
Kernkraft 400 (A Better Day),Kernkraft 400 (A Better Day),Topic,6/17/2022,3543,171920896,65.0
SORRY NOT SORRY,CALL ME IF YOU GET LOST: The Estate Sale,"Tyler, The Creator",3/31/2023,3536,98301770,63.0
Bad (feat. Vassy) - Radio Edit,The Edge (Mixed By G-Wizard & DJ Nino Brown),Showtek,1/1/2014,3538,602359731,62.0
CYBERTRUCK,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,3540,99022909,0.0
"Sher Khul Gaye (From ""Fighter"")","Sher Khul Gaye (From ""Fighter"")",Vishal-Shekhar,12/15/2023,3528,22277518,0.0
Fever,Future Nostalgia,Dua Lipa,3/27/2020,3532,381166294,57.0
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,12/29/2021,3539,454467751,67.0
Hands up!,Hands up!,6arelyhuman,12/10/2022,3533,144555119,5.0
Buenas,Buenas,Quevedo,9/22/2023,3529,108163942,0.0
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM) - Single,MAX,2/9/2024,3537,72492332,0.0
Let Her Go,All The Little Lights,Passenger,1/1/2012,3534,2252713547,73.0
Put Your Records On,Put Your Records On,Ritt Momney,4/24/2020,3561,600521313,65.0
So Am I,So Am I,Ava Max,3/7/2019,3558,570045987,66.0
Slide,Slide,Calvin Harris,2/24/2017,3555,1044358962,69.0
Feel Good Inc.,Demon Days,Gorillaz,5/23/2005,3548,1407382497,78.0
Me And My Broken Heart,Power Hits 2014,Rixton,1/1/2014,3563,733931275,71.0
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Perfect Ten,Mustard,6/28/2019,3566,332224927,58.0
Bachpan Ka Pyaar,Bachpan Ka Pyaar,Badshah,8/11/2021,3565,25893883,46.0
Lo Aprendï¿½ï¿½ de Ti - HA-ASH Primera Fila - Hecho Realidad [En V,HA-ASH Primera Fila - Hecho Realidad,Ha*Ash,11/11/2014,3560,296711145,67.0
GIRL LIKE ME,Translation,Black Eyed Peas,6/18/2020,3547,529404392,62.0
Blinding Lights - Instrumental,Blinding Lights,The Weeknd,9/11/2020,3553,5191059,32.0
Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,9/17/2021,3550,732118596,69.0
Here With Me,Here With Me,Marshmello,3/8/2019,3564,676451716,66.0
Ain't Your Mama,Ain't Your Mama,Jennifer Lopez,4/7/2016,3562,478791369,63.0
Rock My Body,Rock My Body (with INNA & Sash!),R3HAB,4/28/2023,3545,155454907,73.0
TWINNEM,TWINNEM,Coi Leray,9/20/2021,3557,34116353,42.0
Mood,Mood,Makar,8/5/2022,3551,86132200,55.0
TU$$I (with Dei V),TU$$I (with Dei V),YOVNGCHIMI,10/20/2023,3549,94305899,72.0
"Duki: Bzrp Music Sessions, Vol. 50","Duki: Bzrp Music Sessions, Vol. 50",Bizarrap,11/16/2022,3554,158017957,62.0
Tell Me What You Want,Tell Me What You Want - Single,Oden & Fatzo,6/14/2024,3546,0,0.0
KABUKI,KABUKI,Cuckoo Coco,3/25/2023,3544,0,0.0
The Bones,GIRL...The Bones,Maren Morris,2/22/2019,3556,461420009,63.0
Good News,Good News,Mac Miller,1/9/2020,3567,447761883,64.0
Sin Seï¿½ï,Sin Seï¿½ï,Quevedo,7/22/2022,3559,281829019,62.0
Mejor Que Yo,Mejor Que Yo - Single,Anuel AA,5/4/2023,3552,81623095,59.0
Wiggle (feat. Snoop Dogg),Talk Dirty,Jason Derulo,9/10/2013,3568,458706557,58.0
Evoque Prata,Evoque Prata,MC MENOR HR,9/9/2022,3595,224150665,58.0
Last Heartbreak Song,The Year I Turned 21,Ayra Starr,5/30/2024,3580,6073281,67.0
MIDDLE CHILD,TrapStar Turnt PopStar,PnB Rock,5/2/2019,3590,143152814,53.0
Pakistan,Pakistan,D-Block Europe,6/29/2023,3594,43844757,56.0
Beat the Odds,Beat the Odds,Lil Tjay,8/26/2022,3575,115581471,60.0
Barely Breathing,Barely Breathing,Grant Averill,10/22/2021,3582,1479227,22.0
All Around The World (La La La),All Around The World (La La La),R3HAB,4/5/2019,3571,654965766,68.0
"You're On Your Own, Kid",Midnights,Taylor Swift,10/21/2022,3585,587555589,72.0
ýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýý (My head is spinning like a screw),ýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýý,kostromin,2/2/2021,3578,116542329,8.0
Already Rich,Already Rich,Yeat,5/3/2023,3592,156047755,70.0
Bandana,Bandana - Single,Shubh,3/29/2024,3576,41479958,72.0
ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý,Mrs. GREEN APPLE,4/11/2024,3573,26222603,74.0
Bruises,Bruises,Lewis Capaldi,3/31/2017,3570,1135588382,73.0
exile (feat. Bon Iver),folklore,Taylor Swift,7/24/2020,3572,757789027,72.0
THE GIRLS - BLACKPINK THE GAME OST,THE GIRLS (BLACKPINK THE GAME OST),BLACKPINK,8/25/2023,3596,116539504,62.0
Raja Ji,Raja Ji,Pawan Singh,6/30/2023,3581,27244358,61.0
ýý ýýýýýýýýýý,ýý ýýýýýýýýýý - Single,A.V.G,7/17/2023,3593,10694922,50.0
Love Sosa,Finally Rich (Deluxe),Chief Keef,1/1/2012,3586,757522352,74.0
HIND'S HALL,HIND'S HALL,Macklemore,5/10/2024,3589,22463244,73.0
Skibidi,"Antipositive, Pt. 2",Little Big,10/5/2018,3577,46872738,49.0
I'm Geekin,I'm Geekin,DDG,4/21/2023,3584,76004507,60.0
Hey Lil Mamï¿,Sol Marï¿½,Eladio Carrion,1/19/2024,3574,77975794,71.0
Eres Mï¿½,"Fï¿½ï¿½rmula, Vol. 2 (Deluxe Edit",Romeo Santos,2/25/2014,3583,562983225,73.0
Sunrise,One Thing At A Time,Morgan Wallen,3/3/2023,3579,104516305,67.0
ME! (feat. Brendon Urie of Panic! At The Disco),ME!,Taylor Swift,4/26/2019,3588,859985881,0.0
Para de Mentir,Para de Mentir,Oruam,11/16/2023,3569,44091443,0.0
TRYNA MAKE SURE,TRYNA MAKE SURE,Moneybagg Yo,5/3/2024,3591,5588636,0.0
Yo Ya No Vuelvo Contigo - En Vivo,Viva Mï¿½ï¿½xico (En V,Grupo Firme,11/25/2020,3587,1969714,29.0
Bella y Sensual,Golden,Romeo Santos,7/21/2017,3611,494373634,66.0
Bertahan Terluka,Bertahan Terluka - Single,Fabio Asher,2/2/2022,3603,171663870,4.0
if looks could kill,if looks could kill,Destroy Lonely,3/3/2023,3618,88771696,62.0
Save Me The Trouble,"Save Me The Trouble, Heartbreak On The Map, Bigger Houses",Dan + Shay,7/14/2023,3616,28945482,52.0
Marisola - Remix,Marisola (Remix),Cris Mj,12/15/2022,3621,325264193,70.0
Trampoline,Trampoline,SHAED,5/18/2018,3615,229366200,55.0
Alone (with Nicki Minaj),Alone,Kim Petras,4/21/2023,3622,79045342,55.0
Godï¿½ï¿½ï¿½,GO LIVE,Stray Kids,6/17/2020,3600,354643707,68.0
Te Vi,Los muchachos vol. 1 - EP,Piso 21,6/1/2018,3610,752708868,70.0
I Wanna Be Yours,AM,Arctic Monkeys,1/1/2013,3597,2185240293,86.0
Boyfriend,Believe,Justin Bieber,1/1/2012,3614,538918222,70.0
PARANOIA,PARANOIA,HEARTSTEEL,10/23/2023,3601,77600263,0.0
Story of My Life,Story of My Life,One Direction,10/28/2013,3607,1275036167,79.0
Black Summer,Black Summer,Red Hot Chili Peppers,2/4/2022,3606,128264127,57.0
Devil You Know,Devil You Know - Single,Tyler Braden,2/2/2024,3599,37634335,21.0
run for the hills,THINK LATER,Tate McRae,12/8/2023,3604,120880428,0.0
I Know - PR1ISVX Edit,I Know (PR1ISVX Edit),Kanii,3/24/2023,3617,152454686,65.0
Wish,Wish,Diler Kharkiya,11/20/2020,3598,10848948,45.0
Let Me Love You,Turning Point,Mario,1/1/2004,3608,971172980,70.0
Sofia,Sofia,Alvaro Soler,4/15/2016,3612,353525330,65.0
Beso (Fruta Fresca),Beso (Fruta Fresca),Wakyin,12/13/2023,3605,26036782,0.0
Ya Lili,Ya Lili,Balti,11/7/2017,3609,54678867,46.0
Those Eyes,Those Eyes,New West,5/10/2019,3613,785139012,73.0
Little Foot Big Foot (feat. Young Nudy),Atavista,Childish Gambino,5/13/2024,3602,7362358,0.0
Explï¿½ï¿½,Para Mi Ex,Myke Towers,12/15/2020,3619,243931915,62.0
Girl On Fire,NRJ Music Awards 2013,Alicia Keys,1/1/2012,3620,646295324,71.0
Like I Want You,LIKE I WANT YOU,Giveon,11/21/2019,3623,382565051,69.0
"Naiyo Lagda (From ""Kisi Ka Bhai Kisi Ki Jaan"")","Naiyo Lagda (From ""Kisi Ka Bhai Kisi Ki Jaan"")",Himesh Reshammiya,2/12/2023,3638,5828713,0.0
Black Magic,Black Magic,Little Mix,5/21/2015,3637,642037328,67.0
Budapest,Did You Hear the Rain?,George Ezra,11/3/2013,3646,1142061871,79.0
Shellfish cumbia,Retumbo,H2O,3/31/2023,3633,0,0.0
La Gï¿½ï¿½e,La Gï¿½ï¿½erita - Si,Grupo Marca Registrada,4/26/2024,3645,27813921,75.0
Mi Tesoro (feat. Nicky Jam),Motivan2,Zion & Lennox,9/30/2016,3631,162240700,54.0
ERE,ERE,juan karlos,8/4/2023,3626,117290821,62.0
Alcohol-Free,Alcohol-Free,TWICE,6/9/2021,3634,224295163,62.0
Bad boy,Bad boy,Marwa Loud,1/1/2018,3639,228588822,63.0
Voices In My Head,Voices In My Head,Falling In Reverse,5/31/2022,3644,122568479,68.0
LA NENA,LA NENA - Single,Lyanno,4/11/2024,3643,29683046,80.0
Better Now,beerbongs & bentleys,Post Malone,4/27/2018,3647,1953403531,46.0
Hati-Hati di Jalan,Manusia,Tulus,3/3/2022,3627,306652166,69.0
Algo Mï¿½ï¿½,Algo Mï¿½ï¿½,Rauw Alejandro,6/25/2020,3648,304134537,64.0
Quicksand,Quicksand,Morray,10/30/2020,3642,92536126,53.0
Singapur,El Androide,El Alfa,5/15/2020,3641,200520284,64.0
Just Dance,The Fame,Lady Gaga,1/1/2008,3629,1062571821,74.0
Tom's Diner,Tom's Diner,AnnenMayKantereit,6/28/2019,3640,296543065,68.0
La Jeepeta - Remix,La Jeepeta (Remix),Nio Garcia,4/24/2020,3625,672449007,64.0
Ojos Marrones,Ojos Marrones - Single,Dos Waves,2/12/2023,3632,2307,0.0
Marvins Room,Marvins Room,Drake,7/22/2011,3624,597923434,68.0
The Motto,Take Care (Deluxe),Drake,11/15/2011,3630,549699659,68.0
Hot (feat. Gunna),So Much Fun,Young Thug,8/16/2019,3635,387820994,64.0
Skibidi Toilet,Skibidi Toilet,Lil Big Stack,6/18/2023,3636,8388731,55.0
moment,moment,Vierre Cloud,12/19/2019,3628,383570519,71.0
Heaven Takes You Home,Paradise Again,Swedish House Mafia,4/15/2022,3649,248202976,71.0
Far Away (2020 Remaster),All The Right Reasons (15th Anniversary Expanded Edition),Nickelback,10/2/2020,3661,378296524,61.0
God Damn,Ek Tha Raja,Badshah,3/18/2024,3651,34233316,70.0
Razzi Bolja,Razzi Bolja,Harjeet Deewana,1/17/2021,3664,14329936,51.0
"Tested, Approved & Trusted",I Told Them...,Burna Boy,8/23/2023,3658,42115225,61.0
GALOPA,GALOPA,PEDRO SAMPAIO,9/16/2021,3667,210287302,57.0
Reckless,Reckless,Madison Beer,6/4/2021,3670,504851489,66.0
Paint The Town Red,Paint The Town Red,Doja Cat,8/3/2023,3678,1065399331,52.0
BEST ON EARTH (feat. BIA) - Bonus,BEST ON EARTH (feat. BIA),Russ,10/18/2019,3665,236121136,60.0
Drunk (And I Don't Wanna Go Home),Drunk (And I Don't Wanna Go Home),Elle King,2/26/2021,3676,198817832,61.0
Overdrive,Overdrive,Post Malone,7/14/2023,3669,130236751,63.0
Cuando Nadie Ve,Cuando Nadie Ve,Morat,6/8/2018,3673,621596476,72.0
Freak (feat. REI AMI),Thrill Seeker,Sub Urban,3/13/2020,3652,193103080,62.0
Sugar Rush Ride,The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,1/27/2023,3672,178523233,67.0
Me Escapï¿,Me Escapï¿,DobleP,9/7/2023,3654,36559856,0.0
Sakhiyaan,Sakhiyaan,Maninder Buttar,10/21/2018,3668,177496669,65.0
Without You (feat. Sandro Cavazza),AVï¿½ï¿½CI ,Avicii,8/10/2017,3662,1074175360,73.0
Aynen,Hermano,Heijan,4/28/2023,3663,66701855,57.0
IDGAF,Dua Lipa (Deluxe),Dua Lipa,6/2/2017,3675,1583012380,71.0
Maniac,Maniac,Conan Gray,10/25/2019,3653,845222205,71.0
Love Me Harder,So Fresh ï¿½ï¿½ï¿½ The Hits Of Summer 2015 + Best O,Ariana Grande,1/1/2014,3655,917284463,73.0
Si Supieras,Si Supieras,Daddy Yankee,6/28/2019,3677,306404848,63.0
Love Someone,Love Someone,Lukas Graham,9/7/2018,3674,753200066,63.0
Dance Alone,Dance Alone,Sia,2/7/2024,3660,25180079,3.0
Suano,Suano - Single,NTG,3/24/2024,3656,15333864,71.0
Heart On Ice,Heart On Ice,Rod Wave,5/31/2019,3659,320136804,62.0
POP/STARS,POP/STARS,K/DA,11/3/2018,3650,352999804,64.0
Ring (feat. Kehlani),Invasion of Privacy,Cardi B,4/6/2018,3671,242105356,59.0
Potion (with Dua Lipa & Young Thug),Potion (with Dua Lipa & Young Thug),Calvin Harris,5/27/2022,3657,221965013,60.0
Pï¿½ï¿½gina De Ex - Ao Vivo N,Mari No Barzinho (Ao Vivo No RJ),Mari Fernandez,4/26/2024,3666,13842105,71.0
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,10/11/2011,3679,1431126152,70.0
NEW MAGIC WAND,IGOR,"Tyler, The Creator",5/17/2019,3703,617991511,74.0
Taaron Ke Shehar,Taaron Ke Shehar,Neha Kakkar,9/20/2020,3686,95962246,58.0
Monster,Monster,LUM!X,4/19/2019,3704,324575469,66.0
